branch,cycle,phase,Q_signed,sign,abs_ratio_vs_prev,in_window,sink_off_ok
D3,1,A,1.156393e+02,+,,0,1
D3,2,A,1.738451e+02,+,1.503340,0,1
D3,3,A,2.341252e+02,+,1.346746,0,1
D3,4,A,2.996448e+02,+,1.279849,0,1
D3,5,A,3.734412e+02,+,1.246279,0,1
D3,6,A,4.586143e+02,+,1.228076,0,1
D3,7,A,5.584957e+02,+,1.217790,0,1
D3,8,A,6.768076e+02,+,1.211840,0,1
D3,9,A,8.178228e+02,+,1.208354,1,1
D3,10,A,9.865349e+02,+,1.206294,1,1
D3,11,A,1.188846e+03,+,1.205072,1,1
D3,12,A,1.431780e+03,+,1.204345,1,1
D3,13,A,1.723737e+03,+,1.203912,1,1
D3,14,A,2.074781e+03,+,1.203653,1,1
D3,15,A,2.496997e+03,+,1.203499,1,1
D3,16,A,3.004903e+03,+,1.203407,1,1
D3,17,A,3.615955e+03,+,1.203352,1,1
D3,18,A,4.351147e+03,+,1.203319,1,1
D3,19,A,5.235731e+03,+,1.203299,1,1
D3,20,A,6.300090e+03,+,1.203288,1,1
D3,21,A,7.580776e+03,+,1.203281,1,1
D3,22,A,9.121768e+03,+,1.203276,1,1
D3,23,A,1.097598e+04,+,1.203274,1,1
D3,24,A,1.320710e+04,+,1.203272,1,1
D3,25,A,1.589172e+04,+,1.203271,1,1
D3,26,A,1.912205e+04,+,1.203271,1,1
D3,27,A,2.300900e+04,+,1.203271,1,1
D3,28,A,2.768605e+04,+,1.203270,1,1
D3,29,A,3.331380e+04,+,1.203270,1,1
D3,30,A,4.008550e+04,+,1.203270,1,1
D3,31,A,4.823369e+04,+,1.203270,1,1
D3,32,A,5.803816e+04,+,1.203270,1,1
D3,33,A,6.983558e+04,+,1.203270,1,1
D3,34,A,8.403107e+04,+,1.203270,1,1
D3,35,A,1.011121e+05,+,1.203270,1,1
D3,36,A,1.216651e+05,+,1.203270,1,1
D3,37,A,1.463960e+05,+,1.203270,1,1
D3,38,A,1.761540e+05,+,1.203270,1,1
D3,39,A,2.119608e+05,+,1.203270,1,1
D3,40,A,2.550461e+05,+,1.203270,1,1
D3,41,A,3.068894e+05,+,1.203270,1,1
D3,42,A,3.692708e+05,+,1.203270,1,1
D3,43,A,4.443325e+05,+,1.203270,1,1
D3,44,A,5.346520e+05,+,1.203270,1,1
D3,45,A,6.433308e+05,+,1.203270,1,1
D3,46,A,7.741007e+05,+,1.203270,1,1
D3,47,A,9.314523e+05,+,1.203270,1,1
D3,48,A,1.120789e+06,+,1.203270,1,1
D3,49,A,1.348612e+06,+,1.203270,1,1
D3,50,A,1.622744e+06,+,1.203270,1,1
D3,51,A,1.952599e+06,+,1.203270,1,1
D3,52,A,2.349504e+06,+,1.203270,1,1
D3,53,A,2.827088e+06,+,1.203270,1,1
D3,54,A,3.401751e+06,+,1.203270,1,1
D3,55,A,4.093225e+06,+,1.203270,1,1
D3,56,A,4.925256e+06,+,1.203270,1,1
D3,57,A,5.926413e+06,+,1.203270,1,1
D3,58,A,7.131075e+06,+,1.203270,1,1
D3,59,A,8.580610e+06,+,1.203270,1,1
D4,1,B,2.551979e+02,+,,0,1
D4,2,B,2.661440e+02,+,1.042893,0,1
D4,3,B,2.908237e+02,+,1.092731,0,1
D4,4,B,3.287925e+02,+,1.130556,0,1
D4,5,B,3.804256e+02,+,1.157038,0,1
D4,6,B,4.468283e+02,+,1.174549,0,1
D4,7,B,5.298012e+02,+,1.185693,0,1
D4,8,B,6.318484e+02,+,1.192614,0,1
D4,9,B,7.562263e+02,+,1.196848,1,1
D4,10,B,9.070275e+02,+,1.199413,1,1
D4,11,B,1.089302e+03,+,1.200958,1,1
D4,12,B,1.309218e+03,+,1.201887,1,1
D4,13,B,1.574259e+03,+,1.202443,1,1
D4,14,B,1.893480e+03,+,1.202775,1,1
D4,15,B,2.277809e+03,+,1.202974,1,1
D4,16,B,2.740417e+03,+,1.203093,1,1
D4,17,B,3.297172e+03,+,1.203165,1,1
D4,18,B,3.967181e+03,+,1.203207,1,1
D4,19,B,4.773441e+03,+,1.203232,1,1
D4,20,B,5.743632e+03,+,1.203248,1,1
D4,21,B,6.911063e+03,+,1.203257,1,1
D4,22,B,8.315820e+03,+,1.203262,1,1
D4,23,B,1.000614e+04,+,1.203265,1,1
D4,24,B,1.204006e+04,+,1.203267,1,1
D4,25,B,1.448742e+04,+,1.203268,1,1
D4,26,B,1.743227e+04,+,1.203269,1,1
D4,27,B,2.097571e+04,+,1.203270,1,1
D4,28,B,2.523944e+04,+,1.203270,1,1
D4,29,B,3.036986e+04,+,1.203270,1,1
D4,30,B,3.654314e+04,+,1.203270,1,1
D4,31,B,4.397127e+04,+,1.203270,1,1
D4,32,B,5.290931e+04,+,1.203270,1,1
D4,33,B,6.366419e+04,+,1.203270,1,1
D4,34,B,7.660522e+04,+,1.203270,1,1
D4,35,B,9.217677e+04,+,1.203270,1,1
D4,36,B,1.109136e+05,+,1.203270,1,1
D4,37,B,1.334590e+05,+,1.203270,1,1
D4,38,B,1.605872e+05,+,1.203270,1,1
D4,39,B,1.932298e+05,+,1.203270,1,1
D4,40,B,2.325076e+05,+,1.203270,1,1
D4,41,B,2.797694e+05,+,1.203270,1,1
D4,42,B,3.366382e+05,+,1.203270,1,1
D4,43,B,4.050667e+05,+,1.203270,1,1
D4,44,B,4.874046e+05,+,1.203270,1,1
D4,45,B,5.864794e+05,+,1.203270,1,1
D4,46,B,7.056932e+05,+,1.203270,1,1
D4,47,B,8.491395e+05,+,1.203270,1,1
D4,48,B,1.021744e+06,+,1.203270,1,1
D4,49,B,1.229434e+06,+,1.203270,1,1
D4,50,B,1.479341e+06,+,1.203270,1,1
D4,51,B,1.780047e+06,+,1.203270,1,1
D4,52,B,2.141878e+06,+,1.203270,1,1
D4,53,B,2.577258e+06,+,1.203270,1,1
D4,54,B,3.101137e+06,+,1.203270,1,1
D4,55,B,3.731505e+06,+,1.203270,1,1
D4,56,B,4.490009e+06,+,1.203270,1,1
D4,57,B,5.402694e+06,+,1.203270,1,1
D4,58,B,6.500900e+06,+,1.203270,1,1
D4,59,B,7.822338e+06,+,1.203270,1,1
