theta_deg,C1_pF,C2_pF,T_varicap_mNm,T_shuttle_mNm,T_cem_mNm,tier
30.000,16.00,280.00,2707.4149,0.0000,0.0000,OC
30.083,16.73,279.27,-885.9994,0.0000,0.0000,OC
30.167,17.47,278.53,-3609.6274,0.0000,0.0000,OC
30.250,18.20,277.80,3609.6274,0.0000,0.0000,OC
30.333,18.93,277.07,-885.9994,0.0000,0.0000,OC
30.417,19.67,276.33,-3117.4055,0.0000,0.0000,OC
30.500,20.40,275.60,4003.4049,0.0000,0.0000,OC
30.583,21.13,274.87,-885.9994,0.0000,0.0000,OC
30.667,21.87,274.13,-3543.9978,0.0000,0.0000,OC
30.750,22.60,273.40,10631.9933,0.0000,0.0000,OC
30.833,23.33,272.67,-885.9994,0.0000,0.0000,OC
30.917,24.07,271.93,-10566.3638,0.0000,0.0000,OC
31.000,24.80,271.20,3543.9978,0.0000,0.0000,OC
31.083,25.53,270.47,-853.1847,0.0000,0.0000,OC
31.167,26.27,269.73,-3511.1830,0.0000,0.0000,OC
31.250,27.00,269.00,3478.3682,0.0000,0.0000,OC
31.333,27.73,268.27,-426.5923,0.0000,0.0000,OC
31.417,28.47,267.53,-3478.3682,0.0000,0.0000,OC
31.500,29.20,266.80,10435.1046,0.0000,0.0000,OC
31.583,29.93,266.07,-0.0000,0.0000,0.0000,OC
31.667,30.67,265.33,-10402.2898,0.0000,0.0000,OC
31.750,31.40,264.60,3445.5534,0.0000,0.0000,OC
31.833,32.13,263.87,6070.7369,0.0000,0.0000,OC
31.917,32.87,263.13,-3445.5534,0.0000,0.0000,OC
32.000,33.60,262.40,-7711.4767,0.0000,0.0000,OC
32.083,34.33,261.67,-1706.3693,0.0000,0.0000,OC
32.167,35.07,260.93,7711.4767,0.0000,0.0000,OC
32.250,35.80,260.20,6825.4772,0.0000,0.0000,OC
32.333,36.53,259.47,-7645.8471,0.0000,0.0000,OC
32.417,37.27,258.73,-6792.6624,0.0000,0.0000,OC
32.500,38.00,258.00,6759.8476,0.0000,0.0000,OC
32.583,38.73,257.27,6759.8476,0.0000,0.0000,OC
32.667,39.47,256.53,-0.0000,0.0000,0.0000,OC
32.750,40.20,255.80,-7580.2175,0.0000,0.0000,OC
32.833,40.93,255.07,-820.3699,0.0000,0.0000,OC
32.917,41.67,254.33,7580.2175,0.0000,0.0000,OC
33.000,42.40,253.60,-787.5551,0.0000,0.0000,OC
33.083,43.13,252.87,-1640.7397,0.0000,0.0000,OC
33.167,43.87,252.13,1673.5545,0.0000,0.0000,OC
33.250,44.60,251.40,-0.0000,0.0000,0.0000,OC
33.333,45.33,250.67,-1640.7397,0.0000,0.0000,OC
33.417,46.07,249.93,-0.0000,0.0000,0.0000,OC
33.500,46.80,249.20,-0.0000,0.0000,0.0000,OC
33.583,47.53,248.47,-0.0000,0.0000,0.0000,OC
33.667,48.27,247.73,-0.0000,0.0000,0.0000,OC
33.750,49.00,247.00,-0.0000,0.0000,0.0000,OC
33.833,49.73,246.27,-0.0000,0.0000,0.0000,OC
33.917,50.47,245.53,-0.0000,0.0000,0.0000,OC
34.000,51.20,244.80,-0.0000,0.0000,0.0000,OC
34.083,51.93,244.07,6497.3293,0.0000,0.0000,OC
34.167,52.67,243.33,-0.0000,0.0000,0.0000,OC
34.250,53.40,242.60,-8072.4394,0.0000,0.0000,OC
34.333,54.13,241.87,4823.7748,0.0000,0.0000,OC
34.417,54.87,241.13,1607.9249,0.0000,0.0000,OC
34.500,55.60,240.40,-0.0000,0.0000,0.0000,OC
34.583,56.33,239.67,11189.8449,0.0000,0.0000,OC
34.667,57.07,238.93,-6431.6997,0.0000,0.0000,OC
34.750,57.80,238.20,-12797.7698,0.0000,0.0000,OC
34.833,58.53,237.47,12732.1402,0.0000,0.0000,OC
34.917,59.27,236.73,-0.0000,0.0000,0.0000,OC
35.000,60.00,236.00,-12699.3254,0.0000,0.0000,OC
35.083,60.73,235.27,6333.2553,0.0000,0.0000,OC
35.167,61.47,234.53,-0.0000,0.0000,0.0000,OC
35.250,62.20,233.80,-1575.1101,0.0000,0.0000,OC
35.333,62.93,233.07,7842.7358,0.0000,0.0000,OC
35.417,63.67,232.33,-4725.3304,0.0000,0.0000,OC
35.500,64.40,231.60,-9385.0312,0.0000,0.0000,OC
35.583,65.13,230.87,7777.1062,0.0000,0.0000,OC
35.667,65.87,230.13,1575.1101,0.0000,0.0000,OC
35.750,66.60,229.40,-9319.4016,0.0000,0.0000,OC
35.833,67.33,228.67,7744.2915,0.0000,0.0000,OC
35.917,68.07,227.93,4659.7008,0.0000,0.0000,OC
36.000,68.80,227.20,-6201.9961,0.0000,0.0000,OC
36.083,69.53,226.47,4626.8860,0.0000,0.0000,OC
36.167,70.27,225.73,-3084.5907,0.0000,0.0000,OC
36.250,71.00,225.00,-7645.8471,0.0000,0.0000,OC
36.333,71.73,224.27,9155.3276,0.0000,0.0000,OC
36.417,72.47,223.53,1542.2953,0.0000,0.0000,OC
36.500,73.20,222.80,-10664.8081,0.0000,0.0000,OC
36.583,73.93,222.07,9089.6980,0.0000,0.0000,OC
36.667,74.67,221.33,4561.2564,0.0000,0.0000,OC
36.750,75.40,220.60,-10599.1786,0.0000,0.0000,OC
36.833,76.13,219.87,4528.4416,0.0000,0.0000,OC
36.917,76.87,219.13,-0.0000,0.0000,0.0000,OC
37.000,77.60,218.40,-6037.9221,0.0000,0.0000,OC
37.083,78.33,217.67,6005.1074,0.0000,0.0000,OC
37.167,79.07,216.93,-0.0000,0.0000,0.0000,OC
37.250,79.80,216.20,-2986.1463,0.0000,0.0000,OC
37.333,80.53,215.47,8925.6240,0.0000,0.0000,OC
37.417,81.27,214.73,-2953.3315,0.0000,0.0000,OC
37.500,82.00,214.00,-10402.2898,0.0000,0.0000,OC
37.583,82.73,213.27,8859.9945,0.0000,0.0000,OC
37.667,83.47,212.53,1476.6657,0.0000,0.0000,OC
37.750,84.20,211.80,-10303.8454,0.0000,0.0000,OC
37.833,84.93,211.07,4397.1824,0.0000,0.0000,OC
37.917,85.67,210.33,1476.6657,0.0000,0.0000,OC
38.000,86.40,209.60,-2920.5167,0.0000,0.0000,OC
38.083,87.13,208.87,7252.0695,0.0000,0.0000,OC
38.167,87.87,208.13,-1476.6657,0.0000,0.0000,OC
38.250,88.60,207.40,-5808.2186,0.0000,0.0000,OC
38.333,89.33,206.67,8630.2909,0.0000,0.0000,OC
38.417,90.07,205.93,-2887.7019,0.0000,0.0000,OC
38.500,90.80,205.20,-11550.8076,0.0000,0.0000,OC
38.583,91.53,204.47,8597.4761,0.0000,0.0000,OC
38.667,92.27,203.73,4298.7381,0.0000,0.0000,OC
38.750,93.00,203.00,-7186.4399,0.0000,0.0000,OC
38.833,93.73,202.27,5742.5890,0.0000,0.0000,OC
38.917,94.47,201.53,-1443.8509,0.0000,0.0000,OC
39.000,95.20,200.80,-5676.9594,0.0000,0.0000,OC
39.083,95.93,200.07,7055.1808,0.0000,0.0000,OC
39.167,96.67,199.33,-0.0000,0.0000,0.0000,OC
39.250,97.40,198.60,-8499.0317,0.0000,0.0000,OC
39.333,98.13,197.87,8400.5873,0.0000,0.0000,OC
39.417,98.87,197.13,2822.0723,0.0000,0.0000,OC
39.500,99.60,196.40,-9811.6235,0.0000,0.0000,OC
39.583,100.33,195.67,8367.7725,0.0000,0.0000,OC
39.667,101.07,194.93,-0.0000,0.0000,0.0000,OC
39.750,101.80,194.20,-9745.9939,0.0000,0.0000,OC
39.833,102.53,193.47,5545.7002,0.0000,0.0000,OC
39.917,103.27,192.73,1411.0362,0.0000,0.0000,OC
40.000,104.00,192.00,-2756.4427,0.0000,0.0000,OC
40.083,104.73,191.27,6891.1068,0.0000,0.0000,OC
40.167,105.47,190.53,-2756.4427,0.0000,0.0000,OC
40.250,106.20,189.80,-8236.5134,0.0000,0.0000,OC
40.333,106.93,189.07,8170.8838,0.0000,0.0000,OC
40.417,107.67,188.33,-0.0000,0.0000,0.0000,OC
40.500,108.40,187.60,-9549.1051,0.0000,0.0000,OC
40.583,109.13,186.87,5447.2559,0.0000,0.0000,OC
40.667,109.87,186.13,2723.6279,0.0000,0.0000,OC
40.750,110.60,185.40,-4036.2197,0.0000,0.0000,OC
40.833,111.33,184.67,5414.4411,0.0000,0.0000,OC
40.917,112.07,183.93,-1345.4066,0.0000,0.0000,OC
41.000,112.80,183.20,-5381.6263,0.0000,0.0000,OC
41.083,113.53,182.47,6694.2180,0.0000,0.0000,OC
41.167,114.27,181.73,-2690.8131,0.0000,0.0000,OC
41.250,115.00,181.00,-8006.8098,0.0000,0.0000,OC
41.333,115.73,180.27,11944.5851,0.0000,0.0000,OC
41.417,116.47,179.53,5315.9967,0.0000,0.0000,OC
41.500,117.20,178.80,-10566.3638,0.0000,0.0000,OC
41.583,117.93,178.07,2625.1835,0.0000,0.0000,OC
41.667,118.67,177.33,-0.0000,0.0000,0.0000,OC
41.750,119.40,176.60,-5250.3671,0.0000,0.0000,OC
41.833,120.13,175.87,5217.5523,0.0000,0.0000,OC
41.917,120.87,175.13,2625.1835,0.0000,0.0000,OC
42.000,121.60,174.40,-2625.1835,0.0000,0.0000,OC
42.083,122.33,173.67,7777.1062,0.0000,0.0000,OC
42.167,123.07,172.93,-2592.3687,0.0000,0.0000,OC
42.250,123.80,172.20,-10353.0676,0.0000,0.0000,OC
42.333,124.53,171.47,7727.8841,0.0000,0.0000,OC
42.417,125.27,170.73,-0.0000,0.0000,0.0000,OC
42.500,126.00,170.00,-7711.4767,0.0000,0.0000,OC
42.583,126.73,169.27,5135.5153,0.0000,0.0000,OC
42.667,127.47,168.53,-0.0000,0.0000,0.0000,OC
42.750,128.20,167.80,-2543.1466,0.0000,0.0000,OC
42.833,128.93,167.07,7613.0323,0.0000,0.0000,OC
42.917,129.67,166.33,-2543.1466,0.0000,0.0000,OC
43.000,130.40,165.60,-7613.0323,0.0000,0.0000,OC
43.083,131.13,164.87,7547.4027,0.0000,0.0000,OC
43.167,131.87,164.13,-0.0000,0.0000,0.0000,OC
43.250,132.60,163.40,-7547.4027,0.0000,0.0000,OC
43.333,133.33,162.67,4987.8487,0.0000,0.0000,OC
43.417,134.07,161.93,2493.9244,0.0000,0.0000,OC
43.500,134.80,161.20,-4987.8487,0.0000,0.0000,OC
43.583,135.53,160.47,4987.8487,0.0000,0.0000,OC
43.667,136.27,159.73,-2477.5170,0.0000,0.0000,OC
43.750,137.00,159.00,-7432.5509,0.0000,0.0000,OC
43.833,137.73,158.27,7383.3287,0.0000,0.0000,OC
43.917,138.47,157.53,-0.0000,0.0000,0.0000,OC
44.000,139.20,156.80,-7383.3287,0.0000,0.0000,OC
44.083,139.93,156.07,7334.1065,0.0000,0.0000,OC
44.167,140.67,155.33,2444.7022,0.0000,0.0000,OC
44.250,141.40,154.60,-7317.6991,0.0000,0.0000,OC
44.333,142.13,153.87,4856.5896,0.0000,0.0000,OC
44.417,142.87,153.13,-0.0000,0.0000,0.0000,OC
44.500,143.60,152.40,-4840.1822,0.0000,0.0000,OC
44.583,144.33,151.67,4840.1822,0.0000,0.0000,OC
44.667,145.07,150.93,-0.0000,0.0000,0.0000,OC
44.750,145.80,150.20,-2411.8874,0.0000,0.0000,OC
44.833,146.53,149.47,7170.0326,0.0000,0.0000,OC
44.917,147.27,148.73,-2379.0726,0.0000,0.0000,OC
45.000,148.00,148.00,-4774.5526,0.0000,0.0000,OC
45.083,148.73,147.27,2379.0726,0.0000,0.0000,OC
45.167,149.47,146.53,-2379.0726,0.0000,0.0000,OC
45.250,150.20,145.80,-2379.0726,0.0000,0.0000,OC
45.333,150.93,145.07,7055.1808,0.0000,0.0000,OC
45.417,151.67,144.33,-0.0000,0.0000,0.0000,OC
45.500,152.40,143.60,-7038.7734,0.0000,0.0000,OC
45.583,153.13,142.87,6989.5512,0.0000,0.0000,OC
45.667,153.87,142.13,-0.0000,0.0000,0.0000,OC
45.750,154.60,141.40,-6989.5512,0.0000,0.0000,OC
45.833,155.33,140.67,4610.4786,0.0000,0.0000,OC
45.917,156.07,139.93,-0.0000,0.0000,0.0000,OC
46.000,156.80,139.20,-2313.4430,0.0000,0.0000,OC
46.083,157.53,138.47,6891.1068,0.0000,0.0000,OC
46.167,158.27,137.73,-4610.4786,0.0000,0.0000,OC
46.250,159.00,137.00,-6874.6994,0.0000,0.0000,OC
46.333,159.73,136.27,9122.5128,0.0000,0.0000,OC
46.417,160.47,135.53,2280.6282,0.0000,0.0000,OC
46.500,161.20,134.80,-6825.4772,0.0000,0.0000,OC
46.583,161.93,134.07,2264.2208,0.0000,0.0000,OC
46.667,162.67,133.33,-0.0000,0.0000,0.0000,OC
46.750,163.40,132.60,-2264.2208,0.0000,0.0000,OC
46.833,164.13,131.87,6727.0328,0.0000,0.0000,OC
46.917,164.87,131.13,-2247.8134,0.0000,0.0000,OC
47.000,165.60,130.40,-6727.0328,0.0000,0.0000,OC
47.083,166.33,129.67,6661.4032,0.0000,0.0000,OC
47.167,167.07,128.93,-0.0000,0.0000,0.0000,OC
47.250,167.80,128.20,-4446.4046,0.0000,0.0000,OC
47.333,168.53,127.47,6628.5884,0.0000,0.0000,OC
47.417,169.27,126.73,-2214.9986,0.0000,0.0000,OC
47.500,170.00,126.00,-8810.7723,0.0000,0.0000,OC
47.583,170.73,125.27,6562.9589,0.0000,0.0000,OC
47.667,171.47,124.53,2198.5912,0.0000,0.0000,OC
47.750,172.20,123.80,-4364.3676,0.0000,0.0000,OC
47.833,172.93,123.07,4347.9602,0.0000,0.0000,OC
47.917,173.67,122.33,-0.0000,0.0000,0.0000,OC
48.000,174.40,121.60,-2165.7764,0.0000,0.0000,OC
48.083,175.13,120.87,4331.5528,0.0000,0.0000,OC
48.167,175.87,120.13,-2149.3690,0.0000,0.0000,OC
48.250,176.60,119.40,-6448.1071,0.0000,0.0000,OC
48.333,177.33,118.67,6431.6997,0.0000,0.0000,OC
48.417,178.07,117.93,2149.3690,0.0000,0.0000,OC
48.500,178.80,117.20,-6398.8849,0.0000,0.0000,OC
48.583,179.53,116.47,2132.9616,0.0000,0.0000,OC
48.667,180.27,115.73,-1066.4808,0.0000,0.0000,OC
48.750,181.00,115.00,-2116.5542,0.0000,0.0000,OC
48.833,181.73,114.27,5250.3671,0.0000,0.0000,OC
48.917,182.47,113.53,-3150.2203,0.0000,0.0000,OC
49.000,183.20,112.80,-4200.2937,0.0000,0.0000,OC
49.083,183.93,112.07,6267.6257,0.0000,0.0000,OC
49.167,184.67,111.33,1033.6660,0.0000,0.0000,OC
49.250,185.40,110.60,-5217.5523,0.0000,0.0000,OC
49.333,186.13,109.87,3084.5907,0.0000,0.0000,OC
49.417,186.87,109.13,-1033.6660,0.0000,0.0000,OC
49.500,187.60,108.40,-6201.9961,0.0000,0.0000,OC
49.583,188.33,107.67,6152.7739,0.0000,0.0000,OC
49.667,189.07,106.93,2067.3320,0.0000,0.0000,OC
49.750,189.80,106.20,-4101.8493,0.0000,0.0000,OC
49.833,190.53,105.47,5086.2931,0.0000,0.0000,OC
49.917,191.27,104.73,-1017.2586,0.0000,0.0000,OC
50.000,192.00,104.00,-4069.0345,0.0000,0.0000,OC
50.083,192.73,103.27,6054.3295,0.0000,0.0000,OC
50.167,193.47,102.53,-1000.8512,0.0000,0.0000,OC
50.250,194.20,101.80,-8056.0320,0.0000,0.0000,OC
50.333,194.93,101.07,5004.2561,0.0000,0.0000,OC
50.417,195.67,100.33,2001.7025,0.0000,0.0000,OC
50.500,196.40,99.60,-3986.9975,0.0000,0.0000,OC
50.583,197.13,98.87,3954.1827,0.0000,0.0000,OC
50.667,197.87,98.13,-0.0000,0.0000,0.0000,OC
50.750,198.60,97.40,-2969.7389,0.0000,0.0000,OC
50.833,199.33,96.67,4922.2191,0.0000,0.0000,OC
50.917,200.07,95.93,-1968.8877,0.0000,0.0000,OC
51.000,200.80,95.20,-5906.6630,0.0000,0.0000,OC
51.083,201.53,94.47,7809.9210,0.0000,0.0000,OC
51.167,202.27,93.73,968.0364,0.0000,0.0000,OC
51.250,203.00,93.00,-7793.5136,0.0000,0.0000,OC
51.333,203.73,92.27,2887.7019,0.0000,0.0000,OC
51.417,204.47,91.53,-0.0000,0.0000,0.0000,OC
51.500,205.20,90.80,-1936.0729,0.0000,0.0000,OC
51.583,205.93,90.07,4790.9600,0.0000,0.0000,OC
51.667,206.67,89.33,-1919.6655,0.0000,0.0000,OC
51.750,207.40,88.60,-3822.9235,0.0000,0.0000,OC
51.833,208.13,87.87,4758.1452,0.0000,0.0000,OC
51.917,208.87,87.13,-0.0000,0.0000,0.0000,OC
52.000,209.60,86.40,-3790.1087,0.0000,0.0000,OC
52.083,210.33,85.67,3790.1087,0.0000,0.0000,OC
52.167,211.07,84.93,-935.2216,0.0000,0.0000,OC
52.250,211.80,84.20,-5644.1446,0.0000,0.0000,OC
52.333,212.53,83.47,4676.1082,0.0000,0.0000,OC
52.417,213.27,82.73,1870.4433,0.0000,0.0000,OC
52.500,214.00,82.00,-4659.7008,0.0000,0.0000,OC
52.583,214.73,81.27,2772.8501,0.0000,0.0000,OC
52.667,215.47,80.53,-0.0000,0.0000,0.0000,OC
52.750,216.20,79.80,-1854.0359,0.0000,0.0000,OC
52.833,216.93,79.07,5512.8854,0.0000,0.0000,OC
52.917,217.67,78.33,-918.8142,0.0000,0.0000,OC
53.000,218.40,77.60,-6415.2923,0.0000,0.0000,OC
53.083,219.13,76.87,5463.6632,0.0000,0.0000,OC
53.167,219.87,76.13,1821.2211,0.0000,0.0000,OC
53.250,220.60,75.40,-6366.0701,0.0000,0.0000,OC
53.333,221.33,74.67,2707.2205,0.0000,0.0000,OC
53.417,222.07,73.93,1804.8137,0.0000,0.0000,OC
53.500,222.80,73.20,-1788.4063,0.0000,0.0000,OC
53.583,223.53,72.47,4479.2194,0.0000,0.0000,OC
53.667,224.27,71.73,-2690.8131,0.0000,0.0000,OC
53.750,225.00,71.00,-5365.2189,0.0000,0.0000,OC
53.833,225.73,70.27,6218.4035,0.0000,0.0000,OC
53.917,226.47,69.53,1788.4063,0.0000,0.0000,OC
54.000,227.20,68.80,-5315.9967,0.0000,0.0000,OC
54.083,227.93,68.07,2625.1835,0.0000,0.0000,OC
54.167,228.67,67.33,-0.0000,0.0000,0.0000,OC
54.250,229.40,66.60,-2641.5909,0.0000,0.0000,OC
54.333,230.13,65.87,4364.3676,0.0000,0.0000,OC
54.417,230.87,65.13,-1739.1841,0.0000,0.0000,OC
54.500,231.60,64.40,-3478.3682,0.0000,0.0000,OC
54.583,232.33,63.67,4315.1454,0.0000,0.0000,OC
54.667,233.07,62.93,-869.5920,0.0000,0.0000,OC
54.750,233.80,62.20,-3445.5534,0.0000,0.0000,OC
54.833,234.53,61.47,4282.3307,0.0000,0.0000,OC
54.917,235.27,60.73,-853.1847,0.0000,0.0000,OC
55.000,236.00,60.00,-3412.7386,0.0000,0.0000,OC
55.083,236.73,59.27,5086.2931,0.0000,0.0000,OC
55.167,237.47,58.53,-853.1847,0.0000,0.0000,OC
55.250,238.20,57.80,-4233.1085,0.0000,0.0000,OC
55.333,238.93,57.07,5037.0709,0.0000,0.0000,OC
55.417,239.67,56.33,-0.0000,0.0000,0.0000,OC
55.500,240.40,55.60,-3363.5164,0.0000,0.0000,OC
55.583,241.13,54.87,4167.4789,0.0000,0.0000,OC
55.667,241.87,54.13,-836.7773,0.0000,0.0000,OC
55.750,242.60,53.40,-4151.0715,0.0000,0.0000,OC
55.833,243.33,52.67,4118.2567,0.0000,0.0000,OC
55.917,244.07,51.93,-0.0000,0.0000,0.0000,OC
56.000,244.80,51.20,-4118.2567,0.0000,0.0000,OC
56.083,245.53,50.47,4085.4419,0.0000,0.0000,OC
56.167,246.27,49.73,-0.0000,0.0000,0.0000,OC
56.250,247.00,49.00,-3265.0720,0.0000,0.0000,OC
56.333,247.73,48.27,4052.6271,0.0000,0.0000,OC
56.417,248.47,47.53,-803.9625,0.0000,0.0000,OC
56.500,249.20,46.80,-3232.2572,0.0000,0.0000,OC
56.583,249.93,46.07,4807.3674,0.0000,0.0000,OC
56.667,250.67,45.33,-0.0000,0.0000,0.0000,OC
56.750,251.40,44.60,-7202.8473,0.0000,0.0000,OC
56.833,252.13,43.87,3970.5901,0.0000,0.0000,OC
56.917,252.87,43.13,3183.0350,0.0000,0.0000,OC
57.000,253.60,42.40,-6743.4402,0.0000,0.0000,OC
57.083,254.33,41.67,771.1477,0.0000,0.0000,OC
57.167,255.07,40.93,2740.0353,0.0000,0.0000,OC
57.250,255.80,40.20,-0.0000,0.0000,0.0000,OC
57.333,256.53,39.47,3888.5531,0.0000,0.0000,OC
57.417,257.27,38.73,-3904.9605,0.0000,0.0000,OC
57.500,258.00,38.00,-6218.4035,0.0000,0.0000,OC
57.583,258.73,37.27,7366.9213,0.0000,0.0000,OC
57.667,259.47,36.53,2690.8131,0.0000,0.0000,OC
57.750,260.20,35.80,-6562.9589,0.0000,0.0000,OC
57.833,260.93,35.07,1148.5178,0.0000,0.0000,OC
57.917,261.67,34.33,-0.0000,0.0000,0.0000,OC
58.000,262.40,33.60,-754.7403,0.0000,0.0000,OC
58.083,263.13,32.87,3790.1087,0.0000,0.0000,OC
58.167,263.87,32.13,-3035.3685,0.0000,0.0000,OC
58.250,264.60,31.40,-3412.7386,0.0000,0.0000,OC
58.333,265.33,30.67,3740.8865,0.0000,0.0000,OC
58.417,266.07,29.93,-377.3701,0.0000,0.0000,OC
58.500,266.80,29.20,-3379.9238,0.0000,0.0000,OC
58.583,267.53,28.47,3904.9605,0.0000,0.0000,OC
58.667,268.27,27.73,-196.8888,0.0000,0.0000,OC
58.750,269.00,27.00,-3166.6276,0.0000,0.0000,OC
58.833,269.73,26.27,3855.7383,0.0000,0.0000,OC
58.917,270.47,25.53,-377.3701,0.0000,0.0000,OC
59.000,271.20,24.80,-3314.2942,0.0000,0.0000,OC
59.083,271.93,24.07,3642.4422,0.0000,0.0000,OC
59.167,272.67,23.33,-196.8888,0.0000,0.0000,OC
59.250,273.40,22.60,-3100.9981,0.0000,0.0000,OC
59.333,274.13,21.87,3790.1087,0.0000,0.0000,OC
59.417,274.87,21.13,-180.4814,0.0000,0.0000,OC
59.500,275.60,20.40,-3248.6646,0.0000,0.0000,OC
59.583,276.33,19.67,3576.8126,0.0000,0.0000,OC
59.667,277.07,18.93,-360.9627,0.0000,0.0000,OC
59.750,277.80,18.20,-3018.9611,0.0000,0.0000,OC
59.833,278.53,17.47,3708.0718,0.0000,0.0000,OC
59.917,279.27,16.73,6349.6627,0.0000,0.0000,OC
